date;Viewers
2012-9-1;77.764
2012-10-1;99.044
2012-11-1;109.818
2012-12-1;120.658
2013-1-1;147.967
2013-2-1;165.245
2013-3-1;187.833
2013-4-1;191.545
2013-5-1;195.712
2013-6-1;219.716
2013-7-1;214.278
2013-8-1;225.496
2013-9-1;215.156
2013-10-1;213.960
2013-11-1;260.900
2013-12-1;252.400
2014-1-1;290.265
2014-2-1;302.944
2014-3-1;310.824
2014-4-1;311.146
2014-5-1;330.605
2014-6-1;353.086
2014-7-1;364.081
2014-8-1;392.267
2014-9-1;383.571
2014-10-1;380.596
2014-11-1;392.880
2014-12-1;396.091
2015-1-1;498.183
2015-2-1;516.474
2015-3-1;526.885
2015-4-1;503.592
2015-5-1;520.005
2015-6-1;519.908
2015-7-1;551.280
2015-8-1;600.036
2015-9-1;507.415
2015-10-1;589.846
2015-11-1;584.254
2015-12-1;546.688
2016-1-1;645.791
2016-2-1;634.183
2016-3-1;659.089
2016-4-1;621.838
2016-5-1;604.568
2016-6-1;620.227
2016-7-1;599.804
2016-8-1;513.664
2016-9-1;534.937
2016-10-1;609.294
2016-11-1;624.944
2016-12-1;658.586
2017-1-1;811.303
2017-2-1;744.912
2017-3-1;693.883
2017-4-1;743.599
2017-5-1;681.177
2017-6-1;709.453
2017-7-1;761.585
2017-8-1;717.126
2017-9-1;732.925
2017-10-1;786.615
2017-11-1;800.139
2017-12-1;780.276
2018-1-1;967.916
2018-2-1;915.860
2018-3-1;969.647
2018-4-1;1.013.037
2018-5-1;1.024.179
2018-6-1;1.095.179
2018-7-1;1.069.217
2018-8-1;1.150.362
2018-9-1;1.132.031
2018-10-1;1.146.076
2018-11-1;1.202.989
2018-12-1;1.136.970
2019-1-1;1.275.970
2019-2-1;1.311.897
2019-3-1;1.274.016
2019-4-1;1.234.112
2019-5-1;1.262.560
2019-6-1;1.304.579
2019-7-1;1.232.595
2019-8-1;1.342.856
2019-9-1;1.219.579
2019-10-1;1.212.488
2019-11-1;1.222.247
2019-12-1;1.184.935
2020-1-1;1.357.375
2020-2-1;1.410.516
2020-3-1;1.638.049
2020-4-1;2.488.881
2020-5-1;2.359.765
2020-6-1;2.262.771
2020-7-1;2.115.411
2020-8-1;2.178.080
2020-9-1;2.202.200
2020-10-1;2.385.206
2020-11-1;2.487.091
2020-12-1;2.522.869
2021-1-1;2.919.533
2021-2-1;2.945.135
2021-3-1;2.931.862
2021-4-1;3.108.249
2021-5-1;3.101.443
2021-6-1;2.726.890
2021-7-1;2.625.922
2021-8-1;2.654.138
2021-9-1;2.579.471
2021-10-1;2.715.300
2021-11-1;2.518.858
2021-12-1;2.516.311
2022-1-1;2.912.618
2022-2-1;2.956.999
2022-3-1;2.604.898
2022-4-1;2.590.519
2022-5-1;2.538.326
2022-6-1;2.543.567
2022-7-1;2.544.008
2022-8-1;2.618.840
2022-9-1;2.516.312
2022-10-1;2.510.709
2022-11-1;2.365.483
2022-12-1;2.235.405
